phase,run_id,model_id,cell_id,turn_label,n_endpoints,greedy_invalid_count,greedy_invalid_rate,m1_missing_count,m1_missing_rate,m2_missing_count,m2_missing_rate,m3_missing_count,m3_missing_rate,resample_response_count,resample_invalid_count,resample_invalid_rate,excluded_item_count,excluded_task_ids
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__accurate__hostile,measured,10,0,0.0,0,0.0,1,0.1,0,0.0,100,1,0.01,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__accurate__hostile,onset,10,4,0.4,4,0.4,10,1.0,0,0.0,100,51,0.51,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__accurate__hostile,onset_washout,10,0,0.0,0,0.0,7,0.7,1,0.1,100,14,0.14,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__accurate__neutral,measured,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__accurate__neutral,onset,10,0,0.0,0,0.0,4,0.4,3,0.3,100,5,0.05,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__accurate__neutral,onset_washout,10,0,0.0,0,0.0,2,0.2,3,0.3,100,3,0.03,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__malfunctioning_always_fail__hostile,measured,10,0,0.0,0,0.0,2,0.2,0,0.0,100,2,0.02,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__malfunctioning_always_fail__hostile,recovery,10,0,0.0,0,0.0,5,0.5,0,0.0,100,7,0.07,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__malfunctioning_always_fail__neutral,measured,10,0,0.0,0,0.0,1,0.1,0,0.0,100,2,0.02,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,easy__malfunctioning_always_fail__neutral,recovery,10,1,0.1,1,0.1,3,0.3,0,0.0,100,4,0.04,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__accurate__hostile,measured,10,2,0.2,2,0.2,6,0.6,0,0.0,100,16,0.16,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__accurate__hostile,onset,10,8,0.8,8,0.8,10,1.0,0,0.0,100,63,0.63,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__accurate__hostile,onset_washout,10,3,0.3,3,0.3,8,0.8,3,0.3,100,27,0.27,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__accurate__neutral,measured,10,2,0.2,2,0.2,6,0.6,0,0.0,100,16,0.16,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__accurate__neutral,onset,10,5,0.5,5,0.5,9,0.9,1,0.1,100,29,0.29,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__accurate__neutral,onset_washout,10,4,0.4,4,0.4,7,0.7,1,0.1,100,24,0.24,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__malfunctioning_always_fail__hostile,measured,10,1,0.1,1,0.1,7,0.7,0,0.0,100,23,0.23,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__malfunctioning_always_fail__hostile,recovery,10,1,0.1,2,0.2,8,0.8,3,0.3,100,27,0.27,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__malfunctioning_always_fail__neutral,measured,10,1,0.1,1,0.1,7,0.7,0,0.0,100,14,0.14,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-2b-it-2026-08-17,google/gemma-2-2b-it,hard__malfunctioning_always_fail__neutral,recovery,10,2,0.2,2,0.2,8,0.8,0,0.0,100,19,0.19,2,DGS-014;DGS-022
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__hostile,measured,10,0,0.0,0,0.0,3,0.3,0,0.0,100,3,0.03,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__hostile,onset,10,1,0.1,1,0.1,9,0.9,0,0.0,100,20,0.2,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__hostile,onset_washout,10,0,0.0,0,0.0,6,0.6,0,0.0,100,8,0.08,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__neutral,measured,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__neutral,onset,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__neutral,onset_washout,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,measured,10,0,0.0,0,0.0,2,0.2,0,0.0,100,3,0.03,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,recovery,10,0,0.0,0,0.0,2,0.2,0,0.0,100,4,0.04,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,measured,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,recovery,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__hostile,measured,10,3,0.3,3,0.3,4,0.4,0,0.0,100,16,0.16,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__hostile,onset,10,5,0.5,5,0.5,10,1.0,0,0.0,100,66,0.66,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__hostile,onset_washout,10,3,0.3,3,0.3,10,1.0,2,0.2,100,31,0.31,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__neutral,measured,10,2,0.2,2,0.2,4,0.4,0,0.0,100,11,0.11,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__neutral,onset,10,2,0.2,2,0.2,4,0.4,0,0.0,100,14,0.14,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__neutral,onset_washout,10,2,0.2,2,0.2,4,0.4,0,0.0,100,13,0.13,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,measured,10,2,0.2,2,0.2,5,0.5,0,0.0,100,13,0.13,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,recovery,10,3,0.3,3,0.3,7,0.7,0,0.0,100,25,0.25,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,measured,10,2,0.2,2,0.2,3,0.3,0,0.0,100,12,0.12,1,DGS-014
phase_1,phase1-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,recovery,10,2,0.2,2,0.2,4,0.4,0,0.0,100,18,0.18,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,measured,10,0,0.0,0,0.0,4,0.4,6,0.6,100,4,0.04,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,onset,10,0,0.0,1,0.1,5,0.5,1,0.1,100,6,0.06,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,onset_washout,10,0,0.0,0,0.0,5,0.5,3,0.3,100,5,0.05,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,measured,10,0,0.0,0,0.0,3,0.3,8,0.8,100,4,0.04,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,onset,10,0,0.0,1,0.1,4,0.4,3,0.3,100,5,0.05,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,onset_washout,10,0,0.0,1,0.1,3,0.3,6,0.6,100,4,0.04,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,measured,10,0,0.0,0,0.0,0,0.0,3,0.3,100,0,0.0,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,recovery,10,0,0.0,0,0.0,2,0.2,2,0.2,100,3,0.03,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,measured,10,0,0.0,0,0.0,2,0.2,3,0.3,100,3,0.03,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,recovery,10,0,0.0,0,0.0,4,0.4,1,0.1,100,9,0.09,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,measured,10,1,0.1,1,0.1,7,0.7,5,0.5,100,20,0.2,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,onset,10,4,0.4,4,0.4,8,0.8,0,0.0,100,32,0.32,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,onset_washout,10,2,0.2,2,0.2,5,0.5,3,0.3,100,18,0.18,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,measured,10,3,0.3,3,0.3,6,0.6,3,0.3,100,20,0.2,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,onset,10,3,0.3,3,0.3,8,0.8,2,0.2,100,26,0.26,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,onset_washout,10,3,0.3,3,0.3,8,0.8,2,0.2,100,23,0.23,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,measured,10,2,0.2,2,0.2,5,0.5,0,0.0,100,15,0.15,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,recovery,10,3,0.3,3,0.3,8,0.8,0,0.0,100,28,0.28,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__neutral,measured,10,1,0.1,1,0.1,7,0.7,2,0.2,100,16,0.16,1,DGS-014
phase_1,phase1-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__neutral,recovery,10,2,0.2,2,0.2,8,0.8,1,0.1,100,30,0.3,1,DGS-014
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__accurate__hostile,measured,10,0,0.0,8,0.8,0,0.0,0,0.0,100,0,0.0,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__accurate__hostile,onset,10,0,0.0,4,0.4,0,0.0,0,0.0,100,0,0.0,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__accurate__hostile,onset_washout,10,0,0.0,3,0.3,0,0.0,3,0.3,100,0,0.0,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__accurate__neutral,measured,10,0,0.0,5,0.5,1,0.1,0,0.0,100,1,0.01,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__accurate__neutral,onset,10,0,0.0,0,0.0,1,0.1,1,0.1,100,1,0.01,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__accurate__neutral,onset_washout,10,0,0.0,0,0.0,0,0.0,5,0.5,100,0,0.0,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__hostile,measured,10,0,0.0,5,0.5,1,0.1,0,0.0,100,1,0.01,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__hostile,recovery,10,0,0.0,0,0.0,1,0.1,1,0.1,100,1,0.01,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__neutral,measured,10,0,0.0,5,0.5,0,0.0,0,0.0,100,0,0.0,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,easy__malfunctioning_always_fail__neutral,recovery,10,0,0.0,0,0.0,1,0.1,0,0.0,100,1,0.01,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__accurate__hostile,measured,10,3,0.3,6,0.6,3,0.3,0,0.0,100,14,0.14,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__accurate__hostile,onset,10,4,0.4,5,0.5,4,0.4,0,0.0,100,20,0.2,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__accurate__hostile,onset_washout,10,3,0.3,4,0.4,5,0.5,1,0.1,100,17,0.17,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__accurate__neutral,measured,10,1,0.1,2,0.2,5,0.5,0,0.0,100,14,0.14,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__accurate__neutral,onset,10,1,0.1,1,0.1,6,0.6,1,0.1,100,18,0.18,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__accurate__neutral,onset_washout,10,1,0.1,2,0.2,6,0.6,4,0.4,100,16,0.16,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__hostile,measured,10,2,0.2,4,0.4,5,0.5,0,0.0,100,13,0.13,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__hostile,recovery,10,2,0.2,2,0.2,6,0.6,0,0.0,100,18,0.18,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__neutral,measured,10,1,0.1,3,0.3,4,0.4,0,0.0,100,13,0.13,1,DGS-022
phase_1,phase1-qwen2.5-7b-2026-08-17,Qwen/Qwen2.5-7B-Instruct,hard__malfunctioning_always_fail__neutral,recovery,10,1,0.1,1,0.1,5,0.5,2,0.2,100,20,0.2,1,DGS-022
