phase,run_id,model_id,cell_id,turn_label,n_endpoints,greedy_invalid_count,greedy_invalid_rate,m1_missing_count,m1_missing_rate,m2_missing_count,m2_missing_rate,m3_missing_count,m3_missing_rate,resample_response_count,resample_invalid_count,resample_invalid_rate,excluded_item_count,excluded_task_ids
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__hostile,measured,10,3,0.3,3,0.3,4,0.4,0,0.0,100,8,0.08,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__hostile,onset,10,5,0.5,5,0.5,10,1.0,0,0.0,100,28,0.28,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__hostile,onset_washout,10,2,0.2,2,0.2,7,0.7,1,0.1,100,11,0.11,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__neutral,measured,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__neutral,onset,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__accurate__neutral,onset_washout,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,measured,10,1,0.1,1,0.1,1,0.1,0,0.0,100,1,0.01,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,recovery,10,0,0.0,0,0.0,3,0.3,0,0.0,100,5,0.05,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,measured,10,0,0.0,0,0.0,0,0.0,0,0.0,100,0,0.0,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,recovery,10,0,0.0,0,0.0,1,0.1,0,0.0,100,1,0.01,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__hostile,measured,10,1,0.1,1,0.1,6,0.6,0,0.0,100,9,0.09,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__hostile,onset,10,6,0.6,6,0.6,10,1.0,0,0.0,100,62,0.62,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__hostile,onset_washout,10,2,0.2,2,0.2,9,0.9,1,0.1,100,20,0.2,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__neutral,measured,10,0,0.0,0,0.0,1,0.1,0,0.0,100,3,0.03,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__neutral,onset,10,0,0.0,0,0.0,3,0.3,0,0.0,100,6,0.06,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__accurate__neutral,onset_washout,10,1,0.1,1,0.1,4,0.4,0,0.0,100,10,0.1,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,measured,10,1,0.1,1,0.1,3,0.3,0,0.0,100,7,0.07,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,recovery,10,1,0.1,1,0.1,7,0.7,0,0.0,100,19,0.19,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,measured,10,1,0.1,1,0.1,3,0.3,0,0.0,100,3,0.03,0,
phase_2,phase2-gemma-2-9b-it-2026-08-17,google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,recovery,10,0,0.0,0,0.0,4,0.4,0,0.0,100,7,0.07,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,measured,10,0,0.0,0,0.0,2,0.2,5,0.5,100,4,0.04,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,onset,10,0,0.0,0,0.0,2,0.2,1,0.1,100,5,0.05,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__hostile,onset_washout,10,0,0.0,0,0.0,2,0.2,3,0.3,100,4,0.04,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,measured,10,0,0.0,0,0.0,0,0.0,8,0.8,100,0,0.0,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,onset,10,0,0.0,0,0.0,0,0.0,5,0.5,100,0,0.0,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__accurate__neutral,onset_washout,10,0,0.0,0,0.0,0,0.0,6,0.6,100,0,0.0,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,measured,10,0,0.0,0,0.0,2,0.2,2,0.2,100,3,0.03,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__hostile,recovery,10,0,0.0,0,0.0,3,0.3,1,0.1,100,4,0.04,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,measured,10,0,0.0,0,0.0,3,0.3,4,0.4,100,4,0.04,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,easy__malfunctioning_always_fail__neutral,recovery,10,0,0.0,0,0.0,5,0.5,0,0.0,100,10,0.1,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,measured,10,0,0.0,0,0.0,5,0.5,7,0.7,100,10,0.1,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,onset,10,1,0.1,1,0.1,8,0.8,1,0.1,100,20,0.2,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__hostile,onset_washout,10,0,0.0,1,0.1,5,0.5,7,0.7,100,11,0.11,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,measured,10,1,0.1,1,0.1,8,0.8,8,0.8,100,9,0.09,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,onset,10,2,0.2,3,0.3,8,0.8,3,0.3,100,17,0.17,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__accurate__neutral,onset_washout,10,1,0.1,2,0.2,8,0.8,4,0.4,100,10,0.1,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,measured,10,0,0.0,0,0.0,5,0.5,2,0.2,100,8,0.08,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__hostile,recovery,10,0,0.0,0,0.0,9,0.9,1,0.1,100,19,0.19,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__neutral,measured,10,0,0.0,0,0.0,8,0.8,2,0.2,100,13,0.13,0,
phase_2,phase2-qwen2.5-3b-2026-08-17,Qwen/Qwen2.5-3B-Instruct,hard__malfunctioning_always_fail__neutral,recovery,10,3,0.3,3,0.3,9,0.9,0,0.0,100,25,0.25,0,
